2026-06-12T11:21:27.191427347Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:32.416372732Z time="2026-06-12T11:21:32Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:32.418228059Z time="2026-06-12T11:21:32Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 1 vlans"
2026-06-12T11:21:32.423704029Z time="2026-06-12T11:21:32Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:33.964101799Z time="2026-06-12T11:21:33Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:33.967376034Z time="2026-06-12T11:21:33Z" level=info msg="cluster network cnet-111938 will add 1 vlans, remove 0 vlans"
2026-06-12T11:21:33.978580990Z time="2026-06-12T11:21:33Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:35.617630051Z time="2026-06-12T11:21:35Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:35.617660895Z time="2026-06-12T11:21:35Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:35.696265096Z time="2026-06-12T11:21:35Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:40.816099624Z time="2026-06-12T11:21:40Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:40.844823014Z time="2026-06-12T11:21:40Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:40.847971417Z time="2026-06-12T11:21:40Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 1 vlans"
2026-06-12T11:21:40.853549349Z time="2026-06-12T11:21:40Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:41.071961700Z time="2026-06-12T11:21:41Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:41.072991732Z time="2026-06-12T11:21:41Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:48.071698434Z time="2026-06-12T11:21:48Z" level=info msg="vlan config hp-69-tink-system has been removed"
2026-06-12T11:21:48.085714046Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:48.087602804Z time="2026-06-12T11:21:48Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:48.105926605Z time="2026-06-12T11:21:48Z" level=info msg="vlan config hp-117-tink-system has been removed"
