REF                                                                                                                                               TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                    LABELS                                                                                       
docker.io/rancher/harvester-kubeovn-operator:v1.15.4-r2                                                                                           application/vnd.oci.image.manifest.v1+json                sha256:81a3b7a6526ea23e7e0219a8793b8efa46ac456f74fa3e22557f7fed1533c79b 182.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-kubeovn-operator@sha256:81a3b7a6526ea23e7e0219a8793b8efa46ac456f74fa3e22557f7fed1533c79b                              application/vnd.oci.image.manifest.v1+json                sha256:81a3b7a6526ea23e7e0219a8793b8efa46ac456f74fa3e22557f7fed1533c79b 182.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-load-balancer-webhook:v1.8.1-rc1                                                                                      application/vnd.oci.image.manifest.v1+json                sha256:1726611c1602cdebac6dce6e17e501b868bb619e2a2a2b19c07ac8662ef137be 89.9 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-load-balancer-webhook@sha256:1726611c1602cdebac6dce6e17e501b868bb619e2a2a2b19c07ac8662ef137be                         application/vnd.oci.image.manifest.v1+json                sha256:1726611c1602cdebac6dce6e17e501b868bb619e2a2a2b19c07ac8662ef137be 89.9 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-load-balancer:v1.8.1-rc1                                                                                              application/vnd.oci.image.manifest.v1+json                sha256:39addb15b650edb590c9d5fc8559078d1e3e47a61079c8981da0a3afea411c1a 86.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-load-balancer@sha256:39addb15b650edb590c9d5fc8559078d1e3e47a61079c8981da0a3afea411c1a                                 application/vnd.oci.image.manifest.v1+json                sha256:39addb15b650edb590c9d5fc8559078d1e3e47a61079c8981da0a3afea411c1a 86.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-lvm-csi-plugin:v1.8.1-rc1                                                                                             application/vnd.docker.distribution.manifest.list.v2+json sha256:b8a0c24e01ab63340412dff164c324515bed03695c1a451601cedf027b8677ec 90.3 MiB  linux/amd64,linux/arm64                                                      io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-lvm-csi-plugin@sha256:b8a0c24e01ab63340412dff164c324515bed03695c1a451601cedf027b8677ec                                application/vnd.docker.distribution.manifest.list.v2+json sha256:b8a0c24e01ab63340412dff164c324515bed03695c1a451601cedf027b8677ec 90.3 MiB  linux/amd64,linux/arm64                                                      io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-network-controller:v1.8.1-rc1                                                                                         application/vnd.oci.image.manifest.v1+json                sha256:18ba015f68fae5e7f5afbc8854eaa3a037f00eb9285f7530811c2a24012447e7 205.1 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-network-controller@sha256:18ba015f68fae5e7f5afbc8854eaa3a037f00eb9285f7530811c2a24012447e7                            application/vnd.oci.image.manifest.v1+json                sha256:18ba015f68fae5e7f5afbc8854eaa3a037f00eb9285f7530811c2a24012447e7 205.1 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
